Tour,FED_Taux,Pions_Libres,BTC_Force,BTC_Rois,BTC_Pions,SOL_Force,SOL_Cavaliers,SOL_Pions,PEPE_Force,PEPE_Pions
78600,-4.3,1190,558,3,4,108,0,4,7,1
78610,3.16,1200,520,3,0,100,0,0,5,0
78620,-4.81,1186,382,2,6,110,0,5,9,2
78630,4.46,1204,372,2,1,160,0,0,5,0
78640,2.86,1199,374,2,2,122,1,1,5,0
78650,0.43,1200,374,2,2,102,0,1,5,0
78660,-3.66,1201,332,2,1,104,0,2,7,1
78670,-2.06,1202,382,2,1,102,0,1,5,0
78680,-4.89,1169,402,2,11,122,0,11,11,3
78690,2.99,1186,368,2,9,136,0,3,5,0
78700,-2.95,1194,384,2,2,276,0,3,5,0
78710,-0.28,1191,382,2,6,188,0,4,5,0
78720,-4.35,1157,402,2,16,208,0,14,13,4
78730,-4.91,1179,360,2,5,266,1,3,15,5
78740,-3.35,1195,296,2,3,188,0,4,9,2
78750,3.55,1199,392,2,1,240,0,0,7,1
78760,3.28,1194,434,2,2,290,1,0,5,0
78770,-2.86,1201,332,2,1,182,0,1,7,1
78780,1.28,1198,294,2,2,224,0,2,5,0
78790,4.06,1205,290,2,0,220,0,0,5,0
78800,-0.53,1202,292,2,1,244,1,2,5,0
78810,3.05,1207,250,2,0,220,0,0,5,0
78820,-1.55,1202,334,3,2,280,1,0,5,0
78830,-2.34,1190,274,2,2,328,0,4,13,4
78840,-3.67,1177,282,2,6,414,1,7,13,4
78850,0.01,1200,294,3,2,324,0,2,5,0
78860,1.14,1196,422,4,1,266,0,3,7,1
78870,3.45,1207,372,4,1,180,0,0,5,0
78880,-0.04,1197,378,4,4,228,0,4,5,0
78890,1.89,1186,384,4,7,252,1,6,7,1
78900,3.53,1208,430,4,0,140,0,0,5,0
78910,2.13,1173,468,4,9,160,0,10,15,5
78920,2.43,1172,408,4,9,196,0,8,15,5
78930,-4.53,1187,466,4,3,226,2,3,13,4
78940,3.31,1206,390,3,0,180,0,0,5,0
78950,-3.88,1184,460,3,5,214,0,7,11,3
78960,2.56,1198,336,3,3,206,0,3,5,0
78970,-4.85,1204,380,3,0,160,1,0,7,1
78980,0.79,1193,404,3,2,152,0,6,9,2
78990,-0.51,1181,346,3,8,158,0,9,11,3
79000,1.73,1198,374,3,2,230,0,5,5,0
79010,4.33,1201,370,3,0,312,0,1,5,0
79020,-1.3,1200,374,3,2,282,0,1,5,0
79030,3.43,1207,332,3,1,220,0,0,5,0
79040,-3.34,1201,354,3,2,242,1,1,7,1
79050,3.52,1206,330,3,0,282,0,1,5,0
79060,4.57,1209,250,2,0,220,0,0,5,0
79070,-1.83,1190,262,2,6,328,1,4,11,3
79080,-2.37,1180,372,3,6,460,1,5,11,3
79090,-3.91,1185,378,3,4,352,0,6,11,3
79100,-0.68,1197,434,3,2,412,0,1,5,0
79110,4.6,1199,460,3,0,412,0,1,5,0
79120,-4.6,1181,472,3,6,422,0,6,7,1
79130,-2.48,1200,392,3,1,382,0,1,5,0
79140,1.59,1199,374,3,2,402,0,1,5,0
79150,0.53,1177,416,3,8,376,1,8,9,2
79160,4.74,1201,412,3,1,342,0,1,5,0
79170,1.71,1198,416,3,3,304,0,2,5,0
79180,0.16,1179,446,3,8,394,0,7,7,1
79190,-4.86,1147,540,3,15,508,2,14,13,4
79200,4.84,1200,500,3,0,340,0,0,5,0
79210,-1.7,1198,530,3,0,440,0,0,5,0
79220,3.95,1198,456,3,3,400,1,0,5,0
79230,-4.23,1166,476,3,13,438,2,9,13,4
79240,3.63,1200,512,3,1,380,0,0,5,0
79250,3.28,1199,474,3,2,340,0,0,5,0
79260,0.98,1194,394,3,2,364,1,2,7,1
79270,0.2,1202,272,2,1,302,0,1,5,0
79280,-2.76,1171,348,2,9,400,0,10,7,1
79290,-3.86,1200,322,2,1,382,0,1,7,1
