Time,Symbol,Price,Action,Kelly_Stake,BTC_Status,Portfolio,XP
16:02:13,LEO,9.54,ATTENTE,0,INSTABLE,10000.0,0
16:02:13,LINK,8.93,ATTENTE,0,INSTABLE,10000.0,0
16:02:13,XMR,323.25,ATTENTE,0,INSTABLE,10000.0,0
16:02:13,USDE,0.9988,ATTENTE,0,INSTABLE,10000.0,0
16:02:13,XLM,0.172552,ATTENTE,0,INSTABLE,10000.0,0
16:03:15,ETH,2068.69,ATTENTE,0,INSTABLE,10000.0,0
16:03:15,USDT,0.999473,ATTENTE,0,INSTABLE,10000.0,0
16:03:15,BNB,626.63,ATTENTE,0,INSTABLE,10000.0,0
16:03:15,XRP,1.36,ATTENTE,0,INSTABLE,10000.0,0
16:03:15,USDC,0.999812,ATTENTE,0,INSTABLE,10000.0,0
16:03:15,SOL,87.53,ATTENTE,0,INSTABLE,10000.0,0
16:03:15,TRX,0.310955,ATTENTE,0,INSTABLE,10000.0,0
16:03:15,FIGR_HELOC,1.024,ATTENTE,0,INSTABLE,10000.0,0
16:03:15,DOGE,0.090958,ATTENTE,0,INSTABLE,10000.0,0
16:03:15,USDS,0.999752,ATTENTE,0,INSTABLE,10000.0,0
16:03:15,WBT,53.17,ATTENTE,0,INSTABLE,10000.0,0
16:03:15,ADA,0.255968,ATTENTE,0,INSTABLE,10000.0,0
16:03:15,HYPE,39.25,ATTENTE,0,INSTABLE,10000.0,0
16:03:15,BCH,461.72,ATTENTE,0,INSTABLE,10000.0,0
16:03:15,LEO,9.52,ATTENTE,0,INSTABLE,10000.0,0
16:03:15,LINK,8.93,ATTENTE,0,INSTABLE,10000.0,0
16:03:15,XMR,323.24,ATTENTE,0,INSTABLE,10000.0,0
16:03:15,USDE,0.998757,ATTENTE,0,INSTABLE,10000.0,0
16:03:15,XLM,0.172529,ATTENTE,0,INSTABLE,10000.0,0
16:04:17,ETH,2068.73,ATTENTE,0,INSTABLE,10000.0,0
16:04:17,USDT,0.999454,ATTENTE,0,INSTABLE,10000.0,0
16:04:17,BNB,626.46,ATTENTE,0,INSTABLE,10000.0,0
16:04:17,XRP,1.36,ATTENTE,0,INSTABLE,10000.0,0
16:04:17,USDC,0.999811,ATTENTE,0,INSTABLE,10000.0,0
16:04:17,SOL,87.54,ATTENTE,0,INSTABLE,10000.0,0
16:04:17,TRX,0.310937,ATTENTE,0,INSTABLE,10000.0,0
