Time,Symbol,Price,Kings_TVL,Knights_Vol,Pawns_Retail,IA_Order,IA_Reason,Portfolio
16:56:41,SOL,87.16,0,70,197,ATTENTE,Analyse impossible,10000.0
16:56:41,TRX,0.31118,0,19,2,ATTENTE,Analyse impossible,10000.0
16:56:41,FIGR_HELOC,1.023,0,1,0,ATTENTE,Analyse impossible,10000.0
16:56:41,DOGE,0.09103,0,79,64,ATTENTE,Analyse impossible,10000.0
16:58:42,BTC,68912.0,0,31,1469,ATTENTE,Analyse impossible,10000.0
16:58:42,ETH,2061.25,0,63,821,ATTENTE,Analyse impossible,10000.0
16:58:42,USDT,0.99941,0,373,22,ATTENTE,Analyse impossible,10000.0
16:58:42,BNB,626.94,0,9,26,ATTENTE,Analyse impossible,10000.0
16:58:42,XRP,1.36,0,23,78,ATTENTE,Analyse impossible,10000.0
16:58:42,USDC,0.999875,0,127,1,ATTENTE,Analyse impossible,10000.0
16:58:42,SOL,87.17,0,71,197,ATTENTE,Analyse impossible,10000.0
16:58:42,TRX,0.311215,0,19,2,ATTENTE,Analyse impossible,10000.0
16:58:42,FIGR_HELOC,1.023,0,1,0,ATTENTE,Analyse impossible,10000.0
16:58:42,DOGE,0.091015,0,79,65,ATTENTE,Analyse impossible,10000.0
17:00:43,BTC,68885.0,0,31,1480,ATTENTE,Analyse impossible,10000.0
17:00:43,ETH,2059.71,0,63,824,ATTENTE,Analyse impossible,10000.0
17:00:43,USDT,0.99939,0,374,24,ATTENTE,Analyse impossible,10000.0
17:00:43,BNB,626.65,0,9,27,ATTENTE,Analyse impossible,10000.0
17:00:43,XRP,1.36,0,23,78,ATTENTE,Analyse impossible,10000.0
17:00:43,USDC,0.999852,0,123,0,ATTENTE,Analyse impossible,10000.0
17:00:43,SOL,87.15,0,71,195,ATTENTE,Analyse impossible,10000.0
17:00:43,TRX,0.31121,0,19,2,ATTENTE,Analyse impossible,10000.0
17:00:43,FIGR_HELOC,1.023,0,1,0,ATTENTE,Analyse impossible,10000.0
17:00:43,DOGE,0.090986,0,79,65,ATTENTE,Analyse impossible,10000.0
