Timestamp,Symbole,Force_Frappe,Nb_Pieces,Statut
15:00:33,LEO,1036,206,Actif
15:00:33,LINK,878,205,Actif
15:00:33,XMR,876,204,Actif
15:00:33,CC,800,205,Actif
15:00:33,USDE,798,204,Actif
15:00:33,XLM,794,202,Actif
15:00:33,USD1,756,204,Actif
15:00:33,LTC,718,203,Actif
15:00:33,DAI,716,202,Actif
15:00:33,RAIN,718,203,Actif
15:00:33,TAO,660,204,Actif
15:00:33,PYUSD,640,203,Actif
15:00:33,ZEC,640,203,Actif
15:00:33,SUI,640,203,Actif
15:00:33,TON,640,203,Actif
15:00:33,CRO,640,203,Actif
15:00:33,AVAX,638,202,Actif
15:00:33,HBAR,638,202,Actif
15:00:33,M,638,202,Actif
15:00:33,SHIB,634,200,Actif
15:00:33,XAUT,576,201,Actif
15:00:33,USYC,560,202,Actif
15:00:33,MNT,560,202,Actif
15:00:33,PAXG,560,202,Actif
15:00:33,WLFI,556,200,Actif
15:00:33,BUIDL,558,201,Actif
15:00:33,UNI,558,201,Actif
15:00:33,DOT,558,201,Actif
15:00:33,USDG,480,201,Actif
15:00:33,OKB,480,201,Actif
15:00:33,SKY,480,201,Actif
15:00:33,ASTER,480,201,Actif
15:00:33,AAVE,480,201,Actif
15:00:33,PI,478,200,Actif
15:00:33,USDF,476,199,Actif
